id,name,final_status,confidence,conflict_details,author_link
106,SPT-AKI Profile Editor,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/106/spt-aki-profile-editor
147,Medical Attention,Kept (Manual Override - Server),HIGH - MANUALLY VERIFIED,User override applied.,https://forge.sp-tarkov.com/mod/147/medical-attention
164,Freecam,Excluded (Manual Override - Client),HIGH - MANUALLY VERIFIED,User override applied.,https://forge.sp-tarkov.com/mod/164/freecam
179,BALANCED MEDS,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/179/balanced-meds
180,USEFUL FOODS AND DRINKS,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/180/useful-foods-and-drinks
236,Server Value Modifier [SVM],Kept (Manual Override - Server),HIGH - MANUALLY VERIFIED,User override applied.,https://forge.sp-tarkov.com/mod/236/server-value-modifier-svm
374,bluehead's AIO Trader,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/374/blueheads-aio-trader
456,Game Panel HUD,Excluded (Client-Side),HIGH - VERIFIED BY AUTHOR,Scan and Author Description agree.,https://forge.sp-tarkov.com/mod/456/game-panel-hud
555,Special Slots,Kept (Manual Override - Server),HIGH - MANUALLY VERIFIED,User override applied.,https://forge.sp-tarkov.com/mod/555/special-slots
650,Hephaestus,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/650/hephaestus
701,Fontaine's FOV Fix,Excluded (Client-Side),HIGH - VERIFIED BY AUTHOR,Scan and Author Description agree.,https://forge.sp-tarkov.com/mod/701/fontaines-fov-fix
755,The Blacklist - flea market enhancements,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/755/the-blacklist-flea-market-enhancements
791,SAIN - Solarint's AI Modifications - Full AI Combat System Replacement,Kept (Manual Override - Server),HIGH - MANUALLY VERIFIED,User override applied.,https://forge.sp-tarkov.com/mod/791/sain-solarints-ai-modifications-full-ai-combat-system-replacement
820,Door Randomizer,Kept (Manual Override - Server),HIGH - MANUALLY VERIFIED,User override applied.,https://forge.sp-tarkov.com/mod/820/door-randomizer
824,Task List Fixes,Excluded (Client-Side),HIGH - VERIFIED BY AUTHOR,Scan and Author Description agree.,https://forge.sp-tarkov.com/mod/824/task-list-fixes
827,Waypoints - Expanded Navmesh,Kept (Manual Override - Server),HIGH - MANUALLY VERIFIED,User override applied.,https://forge.sp-tarkov.com/mod/827/waypoints-expanded-navmesh
861,MoreCheckmarks,Excluded (Client-Side),HIGH - VERIFIED BY AUTHOR,Scan and Author Description agree.,https://forge.sp-tarkov.com/mod/861/morecheckmarks
865,Gilded Key Storage,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/865/gilded-key-storage
874,AES,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/874/aes
898,Kmy Tarkov Api,Kept (Manual Override - Server),HIGH - MANUALLY VERIFIED,User override applied.,https://forge.sp-tarkov.com/mod/898/kmy-tarkov-api
902,BigBrain,Kept (Manual Override - Server),HIGH - MANUALLY VERIFIED,User override applied.,https://forge.sp-tarkov.com/mod/902/bigbrain
909,Item Sell Price,Excluded (Client-Side),HIGH - VERIFIED BY AUTHOR,Scan and Author Description agree.,https://forge.sp-tarkov.com/mod/909/item-sell-price
910,Item Attribute Fix,Excluded (Client-Side),HIGH - VERIFIED BY AUTHOR,Scan and Author Description agree.,https://forge.sp-tarkov.com/mod/910/item-attribute-fix
914,Magazine Inspector,Excluded (Manual Override - Client),HIGH - MANUALLY VERIFIED,User override applied.,https://forge.sp-tarkov.com/mod/914/magazine-inspector
918,BotDebug,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/918/botdebug
922,Less Restricting Headwear,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/922/less-restricting-headwear
933,Use Loose Loot,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/933/use-loose-loot
934,Search Open Containers,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/934/search-open-containers
938,Custom Interactions,Excluded (Manual Override - Client),HIGH - MANUALLY VERIFIED,User override applied.,https://forge.sp-tarkov.com/mod/938/custom-interactions
940,Item Context Menu Extended,Kept (Server-Side),HIGH - VERIFIED BY AUTHOR,Scan and Author Description agree.,https://forge.sp-tarkov.com/mod/940/item-context-menu-extended
972,Munitions Expert (Reboot),Excluded (Manual Override - Client),HIGH - MANUALLY VERIFIED,User override applied.,https://forge.sp-tarkov.com/mod/972/munitions-expert-reboot
975,Quick Launcher,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/975/quick-launcher
981,Balanced Overhaul Of Bullet Spawns (BOOBS),Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/981/balanced-overhaul-of-bullet-spawns-boobs
994,Set Speed - Set Player Speed with Hotkeys,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/994/set-speed-set-player-speed-with-hotkeys
1023,WTT- Artem,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1023/wtt-artem
1064,Andern,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1064/andern
1089,Kaeno-TraderScrolling,Excluded (Client-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1089/kaeno-traderscrolling
1090,Color Converter API,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1090/color-converter-api
1100,ACCURATE CIRCULAR RADAR,Excluded (Manual Override - Client),HIGH - MANUALLY VERIFIED,User override applied.,https://forge.sp-tarkov.com/mod/1100/accurate-circular-radar
1117,Deminvincibility,Excluded (Manual Override - Client),HIGH - MANUALLY VERIFIED,User override applied.,https://forge.sp-tarkov.com/mod/1117/deminvincibility
1131,Live Flea Prices,Kept (Manual Override - Server),HIGH - MANUALLY VERIFIED,User override applied.,https://forge.sp-tarkov.com/mod/1131/live-flea-prices
1136,Equip From Weapon Rack,Excluded (Manual Override - Client),HIGH - MANUALLY VERIFIED,User override applied.,https://forge.sp-tarkov.com/mod/1136/equip-from-weapon-rack
1140,Quest Tracker,Excluded (Client-Side),HIGH - VERIFIED BY AUTHOR,Scan and Author Description agree.,https://forge.sp-tarkov.com/mod/1140/quest-tracker
1171,Make PL-15 Great Again!,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1171/make-pl-15-great-again
1173,Unda,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1173/unda
1175,Make VPO-101 Great Again!,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1175/make-vpo-101-great-again
1180,SamSWAT's Fire Support - Arys Reloaded,Kept (Manual Override - Server),HIGH - MANUALLY VERIFIED,User override applied.,https://forge.sp-tarkov.com/mod/1180/samswats-fire-support-arys-reloaded
1184,Open Sesame,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1184/open-sesame
1190,BUMA-Revamped (Bosses Use Meta Ammo),Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1190/buma-revamped-bosses-use-meta-ammo
1219,SP-EFT Manager,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1219/sp-eft-manager
1229,LumurkFox - PINEAPPLE BLITZ GRENADE (RE-UPLOAD),Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1229/lumurkfox-pineapple-blitz-grenade-re-upload
1252,SPT Mods Installer,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1252/spt-mods-installer
1256,Unbreakable keys,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1256/unbreakable-keys
1260,Reach Extender,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1260/reach-extender
1263,Epic's All in One,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1263/epics-all-in-one
1274,Healing Autocancel,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1274/healing-autocancel
1277,WTT - Head and Voice Selector,Excluded (Manual Override - Client),HIGH - MANUALLY VERIFIED,User override applied.,https://forge.sp-tarkov.com/mod/1277/wtt-head-and-voice-selector
1278,WTT - Pack 'n' Strap,Kept (Manual Override - Server),HIGH - MANUALLY VERIFIED,User override applied.,https://forge.sp-tarkov.com/mod/1278/wtt-pack-n-strap
1283,Trader Modding And Improved Weapon Building,Kept (Manual Override - Server),HIGH - MANUALLY VERIFIED,User override applied.,https://forge.sp-tarkov.com/mod/1283/trader-modding-and-improved-weapon-building
1292,SamSWAT's Helicopter Crash Sites - Arys Reloaded,Kept (Manual Override - Server),HIGH - MANUALLY VERIFIED,User override applied.,https://forge.sp-tarkov.com/mod/1292/samswats-helicopter-crash-sites-arys-reloaded
1298,HandsAreNotBusy,Excluded (Client-Side),HIGH - VERIFIED BY AUTHOR,Scan and Author Description agree.,https://forge.sp-tarkov.com/mod/1298/handsarenotbusy
1300,Modding Stats Helper - by wara,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1300/modding-stats-helper-by-wara
1301,DisableScavMode egboggied,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1301/disablescavmode-egboggied
1303,HarryHideout,Excluded (Client-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1303/harryhideout
1305,Repair Max Durability,Kept (Server-Side),HIGH - VERIFIED BY AUTHOR,Scan and Author Description agree.,https://forge.sp-tarkov.com/mod/1305/repair-max-durability
1340,WTT - The Long Lost Heads of Yojenkz,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1340/wtt-the-long-lost-heads-of-yojenkz
1341,Quick Move To Containers,Excluded (Client-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1341/quick-move-to-containers
1342,UI Fixes,Kept (Manual Override - Server),HIGH - MANUALLY VERIFIED,User override applied.,https://forge.sp-tarkov.com/mod/1342/ui-fixes
1343,Skipper,Excluded (Client-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1343/skipper
1358,BrightLasers,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1358/brightlasers
1362,Repeatable Quest Config,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1362/repeatable-quest-config
1371,Environment Replace,Excluded (Manual Override - Client),HIGH - MANUALLY VERIFIED,User override applied.,https://forge.sp-tarkov.com/mod/1371/environment-replace
1374,Player Encumbrance Bar,Excluded (Client-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1374/player-encumbrance-bar
1387,Simple Crosshair,Excluded (Client-Side),HIGH - VERIFIED BY AUTHOR,Scan and Author Description agree.,https://forge.sp-tarkov.com/mod/1387/simple-crosshair
1404,Legs the Trader,Kept (Server-Side),Standard,Structural scan verified.,https://forge.sp-tarkov.com/mod/1404/legs-the-trader
